"ct","med","ciL","ciU","group"
5,3.63565027329332e-130,5.38832874347238e-147,6.64346012763129e-116,"pEnv"
6,4.79434355874211e-108,4.63270839773427e-122,3.19376573735307e-96,"pEnv"
7,5.84007036986057e-91,8.5976119183929e-103,5.52961085323347e-81,"pEnv"
8,2.32947157135482e-77,1.9038801118912e-87,7.5337688267476e-69,"pEnv"
9,2.793743472719e-66,6.30213029485394e-75,5.88475130234373e-59,"pEnv"
10,4.22048237309369e-57,1.52185286035586e-64,8.56855701692152e-51,"pEnv"
11,2.18080220068494e-49,7.94638043009018e-56,6.37282545326803e-44,"pEnv"
12,7.71031674719686e-43,1.92755761539906e-48,4.34115945222521e-38,"pEnv"
13,3.16553527262396e-37,4.06955111546857e-42,4.38576378364066e-33,"pEnv"
14,2.20886221511578e-32,1.18275440709568e-36,9.10791336952045e-29,"pEnv"
15,3.5247583145714e-28,6.45030867414741e-32,5.07873809547968e-25,"pEnv"
16,1.62042892050448e-24,8.82528175720404e-28,9.18397126839503e-22,"pEnv"
17,2.58622258194943e-21,3.71517267739053e-24,6.53325570470158e-19,"pEnv"
18,1.67517361598104e-18,5.52967108387368e-21,2.06907246148724e-16,"pEnv"
19,4.99380198146395e-16,3.49629921953518e-18,3.26437657552071e-14,"pEnv"
20,7.51679570715977e-14,1.01730503825662e-15,2.82292356734537e-12,"pEnv"
21,6.23720267538838e-12,1.5442356481786e-13,1.43013437910947e-10,"pEnv"
22,3.09878886515089e-10,1.27412693965985e-11,4.49274301631318e-09,"pEnv"
23,9.65255908262936e-09,6.25923972562493e-10,9.55175817087148e-08,"pEnv"
24,1.98751853518697e-07,1.95311833511449e-08,1.39320203087886e-06,"pEnv"
25,2.85046379794103e-06,3.94354222555493e-07,1.47493454585219e-05,"pEnv"
26,2.93408115191869e-05,5.57664796484454e-06,0.000116675538182144,"pEnv"
27,0.000224758899873407,5.60828806374552e-05,0.000710560855923563,"pEnv"
28,0.00132135915621087,0.000418566183349359,0.0033886402216057,"pEnv"
29,0.00608679937194995,0.00238404605965164,0.0130587094298726,"pEnv"
30,0.0225130161595227,0.0106591063716971,0.041471421569138,"pEnv"
31,0.0682384654646872,0.0379029860238059,0.10997941135486,"pEnv"
32,0.172622729929507,0.109402769042899,0.248488508750584,"pEnv"
33,0.370402942507932,0.263567461400781,0.485197755294966,"pEnv"
34,0.681931233692359,0.532922120171345,0.82651006369667,"pEnv"
35,1.09160795595698,0.916360202697593,1.25182175014619,"pEnv"
36,1.5364218467417,1.36072195323581,1.69155950626665,"pEnv"
37,1.92161601450486,1.76347769848015,2.06195769275638,"pEnv"
38,2.15487215522806,2.02117280438184,2.28419797336327,"pEnv"
39,2.18692602847945,2.0677805751652,2.30468925696095,"pEnv"
40,2.0223230275949,1.91874966094547,2.12993088525559,"pEnv"
41,1.71438501645615,1.62506296719203,1.80709295080443,"pEnv"
42,1.34157642883949,1.26149318114209,1.42205565425415,"pEnv"
43,0.975258142253241,0.898740314400025,1.04873297544968,"pEnv"
44,0.661412329799843,0.590916112777771,0.729806232711494,"pEnv"
45,0.420709911729415,0.36017569639571,0.481798391772822,"pEnv"
1,2.24326993412424e-47,1.58157746121732e-57,5.79486035297776e-39,"pAll"
